text,lang,filename
Bianco dell'Empolese DOC,it,Bianco dell'Empolese DOC.mp3
Bianco di Custoza Custoza DOC,it,Bianco di Custoza Custoza DOC.mp3
Bianco di Pitigliano DOC,it,Bianco di Pitigliano DOC.mp3
Biferno DOC,it,Biferno DOC.mp3
Bivongi DOC,it,Bivongi DOC.mp3
Boca DOC,it,Boca DOC.mp3
Bolgheri DOC,it,Bolgheri DOC.mp3
Bolgheri Sassicaia DOC,it,Bolgheri Sassicaia DOC.mp3
Bonarda dell'Oltrepò Pavese DOC,it,Bonarda dell'Oltrepò Pavese DOC.mp3
Bosco Eliceo DOC,it,Bosco Eliceo DOC.mp3
Botticino DOC,it,Botticino DOC.mp3
Brachetto d'Acqui DOCG,it,Brachetto d'Acqui DOCG.mp3
Bramaterra DOC,it,Bramaterra DOC.mp3
Breganze DOC,it,Breganze DOC.mp3
Brindisi DOC,it,Brindisi DOC.mp3
Brunello di Montalcino DOCG,it,Brunello di Montalcino DOCG.mp3
Buttafuoco Buttafuoco dell'Oltrepò Pavese DOC,it,Buttafuoco Buttafuoco dell'Oltrepò Pavese DOC.mp3
Cacc'e mmitte di Lucera DOC,it,Cacc'e mmitte di Lucera DOC.mp3
Calosso DOC,it,Calosso DOC.mp3
Campania IGP,it,Campania IGP.mp3
Campi Flegrei DOC,it,Campi Flegrei DOC.mp3
Campidano di Terralba Terralba DOC,it,Campidano di Terralba Terralba DOC.mp3
Canavese DOC,it,Canavese DOC.mp3
Candia dei Colli Apuani DOC,it,Candia dei Colli Apuani DOC.mp3
Cannellino di Frascati DOCG,it,Cannellino di Frascati DOCG.mp3
Cannonau di Sardegna DOC,it,Cannonau di Sardegna DOC.mp3
Capalbio DOC,it,Capalbio DOC.mp3
Capri DOC,it,Capri DOC.mp3
Capriano del Colle DOC,it,Capriano del Colle DOC.mp3
Carema DOC,it,Carema DOC.mp3
Carignano del Sulcis DOC,it,Carignano del Sulcis DOC.mp3
Carmignano DOCG,it,Carmignano DOCG.mp3
Carso  Carso - Kras DOC,it,Carso  Carso - Kras DOC.mp3
Casavecchia di Pontelatone DOC,it,Casavecchia di Pontelatone DOC.mp3
Casteggio DOC,it,Casteggio DOC.mp3
Castel del Monte Bombino Nero DOCG,it,Castel del Monte Bombino Nero DOCG.mp3
Castel del Monte DOC,it,Castel del Monte DOC.mp3
Castel del Monte Nero di Troia DOCG,it,Castel del Monte Nero di Troia DOCG.mp3
Castel del Monte Rosso Riserva DOCG,it,Castel del Monte Rosso Riserva DOCG.mp3
Castel San Lorenzo DOC,it,Castel San Lorenzo DOC.mp3
Casteller DOC,it,Casteller DOC.mp3
Castelli di Jesi Verdicchio Riserva DOCG,it,Castelli di Jesi Verdicchio Riserva DOCG.mp3
Castelli Romani DOC,it,Castelli Romani DOC.mp3
Cellatica DOC,it,Cellatica DOC.mp3
Cerasuolo d'Abruzzo DOC,it,Cerasuolo d'Abruzzo DOC.mp3
Cerveteri DOC,it,Cerveteri DOC.mp3
Cesanese del Piglio Piglio DOCG,it,Cesanese del Piglio Piglio DOCG.mp3
Cesanese di Olevano Romano Olevano Romano DOC,it,Cesanese di Olevano Romano Olevano Romano DOC.mp3
Chianti Classico DOCG,it,Chianti Classico DOCG.mp3
Chianti DOCG,it,Chianti DOCG.mp3
Cilento DOC,it,Cilento DOC.mp3
Cinque Terre Cinque Terre Sciacchetrà DOC,it,Cinque Terre Cinque Terre Sciacchetrà DOC.mp3
Circeo DOC,it,Circeo DOC.mp3
Cirò DOC,it,Cirò DOC.mp3
Cirò DOCG,it,Cirò DOCG.mp3
Cisterna d'Asti DOC,it,Cisterna d'Asti DOC.mp3
Colli Albani DOC,it,Colli Albani DOC.mp3
Colli Altotiberini DOC,it,Colli Altotiberini DOC.mp3
Colli Berici DOC,it,Colli Berici DOC.mp3
Colli Bolognesi Classico Pignoletto DOCG,it,Colli Bolognesi Classico Pignoletto DOCG.mp3
Colli Bolognesi DOC,it,Colli Bolognesi DOC.mp3
Colli d'Imola DOC,it,Colli d'Imola DOC.mp3
Colli del Trasimeno  Trasimeno DOC,it,Colli del Trasimeno  Trasimeno DOC.mp3
Colli dell'Etruria Centrale DOC,it,Colli dell'Etruria Centrale DOC.mp3
Colli della Sabina DOC,it,Colli della Sabina DOC.mp3
Colli di Conegliano DOCG,it,Colli di Conegliano DOCG.mp3
Colli di Faenza DOC,it,Colli di Faenza DOC.mp3
Colli di Luni DOC,it,Colli di Luni DOC.mp3
Colli di Luni DOC,it,Colli di Luni DOC.mp3
Colli di Parma DOC,it,Colli di Parma DOC.mp3
Colli di Scandiano e di Canossa DOC,it,Colli di Scandiano e di Canossa DOC.mp3
Colli Etruschi Viterbesi Tuscia DOC,it,Colli Etruschi Viterbesi Tuscia DOC.mp3
Colli Euganei DOC,it,Colli Euganei DOC.mp3
Colli Euganei Fior d’Arancio  Fior d'Arancio Colli Euganei DOCG,it,Colli Euganei Fior d’Arancio  Fior d'Arancio Colli Euganei DOCG.mp3
Colli Lanuvini DOC,it,Colli Lanuvini DOC.mp3
Colli Maceratesi DOC,it,Colli Maceratesi DOC.mp3
Colli Martani DOC,it,Colli Martani DOC.mp3
Colli Orientali del Friuli Picolit DOCG,it,Colli Orientali del Friuli Picolit DOCG.mp3
Colli Perugini DOC,it,Colli Perugini DOC.mp3
Colli Pesaresi DOC,it,Colli Pesaresi DOC.mp3
Colli Romagna Centrale DOC,it,Colli Romagna Centrale DOC.mp3
Colli Tortonesi DOC,it,Colli Tortonesi DOC.mp3
Collina Torinese DOC,it,Collina Torinese DOC.mp3
Colline di Levanto DOC,it,Colline di Levanto DOC.mp3
Colline Joniche Tarantine DOC,it,Colline Joniche Tarantine DOC.mp3
Colline Lucchesi DOC,it,Colline Lucchesi DOC.mp3
Colline Novaresi DOC,it,Colline Novaresi DOC.mp3
Colline Saluzzesi DOC,it,Colline Saluzzesi DOC.mp3
Collio Goriziano Collio DOC,it,Collio Goriziano Collio DOC.mp3
Conegliano Valdobbiadene Prosecco DOCG,it,Conegliano Valdobbiadene Prosecco DOCG.mp3
Cònero DOCG,it,Cònero DOCG.mp3
Contea di Sclafani  Valledolmo-Contea di Sclafani DOC,it,Contea di Sclafani  Valledolmo-Contea di Sclafani DOC.mp3
Contessa Entellina DOC,it,Contessa Entellina DOC.mp3
Controguerra DOC,it,Controguerra DOC.mp3
Copertino DOC,it,Copertino DOC.mp3
Cori DOC,it,Cori DOC.mp3
Cortese dell'Alto Monferrato DOC,it,Cortese dell'Alto Monferrato DOC.mp3
Cortese di Gavi Gavi DOCG,it,Cortese di Gavi Gavi DOCG.mp3
Corti Benedettine del Padovano DOC,it,Corti Benedettine del Padovano DOC.mp3
Cortona DOC,it,Cortona DOC.mp3
Costa d'Amalfi DOC,it,Costa d'Amalfi DOC.mp3
Coste della Sesia DOC,it,Coste della Sesia DOC.mp3
Curtefranca DOC,it,Curtefranca DOC.mp3
Delia Nivolelli DOC,it,Delia Nivolelli DOC.mp3
Dogliani DOCG,it,Dogliani DOCG.mp3
Dolceacqua Rossese di Dolceacqua DOC,it,Dolceacqua Rossese di Dolceacqua DOC.mp3
Dolcetto d'Acqui DOC,it,Dolcetto d'Acqui DOC.mp3
Dolcetto d'Alba DOC,it,Dolcetto d'Alba DOC.mp3
Dolcetto d'Asti DOC,it,Dolcetto d'Asti DOC.mp3
Dolcetto di Diano d'Alba DOCG,it,Dolcetto di Diano d'Alba DOCG.mp3
Dolcetto di Ovada DOC,it,Dolcetto di Ovada DOC.mp3
Dolcetto di Ovada Superiore DOCG,it,Dolcetto di Ovada Superiore DOCG.mp3
Elba DOC,it,Elba DOC.mp3
Eloro DOC,it,Eloro DOC.mp3
Erbaluce di Caluso Caluso DOCG,it,Erbaluce di Caluso Caluso DOCG.mp3
Erice DOC,it,Erice DOC.mp3
Esino DOC,it,Esino DOC.mp3
Est! Est!! Est!!! di Montefiascone DOC,it,Est! Est!! Est!!! di Montefiascone DOC.mp3
Etna DOC,it,Etna DOC.mp3
Falerio DOC,it,Falerio DOC.mp3
Falerno del Massico DOC,it,Falerno del Massico DOC.mp3
Fara DOC,it,Fara DOC.mp3
Faro DOC,it,Faro DOC.mp3
Fiano di Avellino DOCG,it,Fiano di Avellino DOCG.mp3
Franciacorta DOCG,it,Franciacorta DOCG.mp3
Frascati DOC,it,Frascati DOC.mp3
Frascati Superiore DOCG,it,Frascati Superiore DOCG.mp3
Freisa d'Asti DOC,it,Freisa d'Asti DOC.mp3
Freisa di Chieri DOC,it,Freisa di Chieri DOC.mp3
Friuli Annia DOC,it,Friuli Annia DOC.mp3
Friuli Aquileia DOC,it,Friuli Aquileia DOC.mp3
Friuli Colli Orientali DOC,it,Friuli Colli Orientali DOC.mp3
Friuli Grave DOC,it,Friuli Grave DOC.mp3
Friuli Isonzo Isonzo del Friuli DOC,it,Friuli Isonzo Isonzo del Friuli DOC.mp3
Friuli Latisana DOC,it,Friuli Latisana DOC.mp3
Friuli o Friuli Venezia Giulia Furlanija o Furlanija Julijska krajina DOC,it,Friuli o Friuli Venezia Giulia Furlanija o Furlanija Julijska krajina DOC.mp3
Gabiano DOC,it,Gabiano DOC.mp3
Galatina DOC,it,Galatina DOC.mp3
Galluccio DOC,it,Galluccio DOC.mp3
Gambellara DOC,it,Gambellara DOC.mp3
Garda Bresciano Riviera del Garda Bresciano DOC,it,Garda Bresciano Riviera del Garda Bresciano DOC.mp3
Garda Colli Mantovani DOC,it,Garda Colli Mantovani DOC.mp3
Garda DOC,it,Garda DOC.mp3
Gattinara DOCG,it,Gattinara DOCG.mp3
Genazzano DOC,it,Genazzano DOC.mp3
Ghemme DOCG,it,Ghemme DOCG.mp3
Gioia del Colle DOC,it,Gioia del Colle DOC.mp3
Girò di Cagliari DOC,it,Girò di Cagliari DOC.mp3
Golfo del Tigullio - Portofino Portofino DOC,it,Golfo del Tigullio - Portofino Portofino DOC.mp3
Grance Senesi DOC,it,Grance Senesi DOC.mp3
Gravina DOC,it,Gravina DOC.mp3
Greco di Bianco DOC,it,Greco di Bianco DOC.mp3
Greco di Tufo DOCG,it,Greco di Tufo DOCG.mp3
Grignolino d'Asti DOC,it,Grignolino d'Asti DOC.mp3
Grignolino del Monferrato Casalese DOC,it,Grignolino del Monferrato Casalese DOC.mp3
Grottino di Roccanova DOC,it,Grottino di Roccanova DOC.mp3
I Terreni di Sanseverino DOC,it,I Terreni di Sanseverino DOC.mp3
Irpinia DOC,it,Irpinia DOC.mp3
Ischia DOC,it,Ischia DOC.mp3
Lacrima di Morro  Lacrima di Morro d'Alba DOC,it,Lacrima di Morro  Lacrima di Morro d'Alba DOC.mp3
Lago di Corbara DOC,it,Lago di Corbara DOC.mp3
Lambrusco di Sorbara DOC,it,Lambrusco di Sorbara DOC.mp3
Lambrusco Grasparossa di Castelvetro DOC,it,Lambrusco Grasparossa di Castelvetro DOC.mp3
Lambrusco Mantovano DOC,it,Lambrusco Mantovano DOC.mp3
Lambrusco Salamino di Santa Croce DOC,it,Lambrusco Salamino di Santa Croce DOC.mp3
Lamezia DOC,it,Lamezia DOC.mp3
Langhe DOC,it,Langhe DOC.mp3
Lessini Durello DOC,it,Lessini Durello DOC.mp3
Lessona DOC,it,Lessona DOC.mp3
Leverano DOC,it,Leverano DOC.mp3
Lison DOCG,it,Lison DOCG.mp3
Lison DOCG,it,Lison DOCG.mp3
Lison Pramaggiore DOC,it,Lison Pramaggiore DOC.mp3
Lizzano DOC,it,Lizzano DOC.mp3
Loazzolo DOC,it,Loazzolo DOC.mp3
Locorotondo DOC,it,Locorotondo DOC.mp3
Lugana DOC,it,Lugana DOC.mp3
Lugana DOC,it,Lugana DOC.mp3
Malanotte del Piave DOCG,it,Malanotte del Piave DOCG.mp3
Malvasia delle Lipari DOC,it,Malvasia delle Lipari DOC.mp3
Malvasia di Bosa DOC,it,Malvasia di Bosa DOC.mp3
Malvasia di Casorzo d'Asti DOC,it,Malvasia di Casorzo d'Asti DOC.mp3
Malvasia di Castelnuovo Don Bosco DOC,it,Malvasia di Castelnuovo Don Bosco DOC.mp3
Mamertino Mamertino di Milazzo DOC,it,Mamertino Mamertino di Milazzo DOC.mp3
Mandrolisai DOC,it,Mandrolisai DOC.mp3
Marche,it,Marche.mp3
Maremma Toscana DOC,it,Maremma Toscana DOC.mp3
Marino DOC,it,Marino DOC.mp3
Marsala DOC,it,Marsala DOC.mp3
Martina Martina Franca DOC,it,Martina Martina Franca DOC.mp3
Matera DOC,it,Matera DOC.mp3
Matino DOC,it,Matino DOC.mp3
Melissa DOC,it,Melissa DOC.mp3
Menfi DOC,it,Menfi DOC.mp3
Merlara DOC,it,Merlara DOC.mp3
Modena di Modena DOC,it,Modena di Modena DOC.mp3
Molise del Molise DOC,it,Molise del Molise DOC.mp3
Molise,it,Molise.mp3
Monferrato DOC,it,Monferrato DOC.mp3
Monica di Sardegna DOC,it,Monica di Sardegna DOC.mp3
Monreale DOC,it,Monreale DOC.mp3
Montecarlo DOC,it,Montecarlo DOC.mp3
Montecompatri Colonna Montecompatri Colonna DOC,it,Montecompatri Colonna Montecompatri Colonna DOC.mp3
Montecucco DOC,it,Montecucco DOC.mp3
Montecucco Sangiovese DOCG,it,Montecucco Sangiovese DOCG.mp3
Montefalco DOC,it,Montefalco DOC.mp3
Montefalco Sagrantino DOCG,it,Montefalco Sagrantino DOCG.mp3
Montello  Montello Rosso DOCG,it,Montello  Montello Rosso DOCG.mp3
Montello e Colli Asolani DOC,it,Montello e Colli Asolani DOC.mp3
Montepulciano d'Abruzzo Colline Teramane DOCG,it,Montepulciano d'Abruzzo Colline Teramane DOCG.mp3
Montepulciano d'Abruzzo DOC,it,Montepulciano d'Abruzzo DOC.mp3
Monteregio di Massa Marittima DOC,it,Monteregio di Massa Marittima DOC.mp3
Montescudaio DOC,it,Montescudaio DOC.mp3
Monti Lessini DOC,it,Monti Lessini DOC.mp3
Morellino di Scansano DOCG,it,Morellino di Scansano DOCG.mp3
Moscadello di Montalcino DOC,it,Moscadello di Montalcino DOC.mp3
Moscato di Sardegna DOC,it,Moscato di Sardegna DOC.mp3
Moscato di Sorso-Sennori Moscato di Sorso Moscato di Sennori DOC,it,Moscato di Sorso-Sennori Moscato di Sorso Moscato di Sennori DOC.mp3
Moscato di Trani DOC,it,Moscato di Trani DOC.mp3
Nardò DOC,it,Nardò DOC.mp3
Nasco di Cagliari DOC,it,Nasco di Cagliari DOC.mp3
Nebbiolo d'Alba DOC,it,Nebbiolo d'Alba DOC.mp3
Negroamaro di Terra d'Otranto DOC,it,Negroamaro di Terra d'Otranto DOC.mp3
Nettuno DOC,it,Nettuno DOC.mp3
Nizza DOCG,it,Nizza DOCG.mp3
Noto DOC,it,Noto DOC.mp3
Nuragus di Cagliari DOC,it,Nuragus di Cagliari DOC.mp3
Offida DOCG,it,Offida DOCG.mp3
Oltrepò Pavese DOC,it,Oltrepò Pavese DOC.mp3
Oltrepò Pavese metodo classico DOCG,it,Oltrepò Pavese metodo classico DOCG.mp3
Oltrepò Pavese Pinot grigio DOC,it,Oltrepò Pavese Pinot grigio DOC.mp3
Orcia DOC,it,Orcia DOC.mp3
Ormeasco di Pornassio Pornassio DOC,it,Ormeasco di Pornassio Pornassio DOC.mp3
Orta Nova DOC,it,Orta Nova DOC.mp3
Ortona DOC,it,Ortona DOC.mp3
Orvietano Rosso Rosso Orvietano DOC,it,Orvietano Rosso Rosso Orvietano DOC.mp3
Orvieto DOC,it,Orvieto DOC.mp3
Orvieto DOC,it,Orvieto DOC.mp3
Ostuni DOC,it,Ostuni DOC.mp3
Pantelleria DOC,it,Pantelleria DOC.mp3
Parrina DOC,it,Parrina DOC.mp3
Penisola Sorrentina DOC,it,Penisola Sorrentina DOC.mp3
Pentro di Isernia DOC,it,Pentro di Isernia DOC.mp3
Pergola DOC,it,Pergola DOC.mp3
Piave DOC,it,Piave DOC.mp3
Piemonte DOC,it,Piemonte DOC.mp3
Piemonte,it,Piemonte.mp3
Pinerolese DOC,it,Pinerolese DOC.mp3
Pinot nero dell'Oltrepò Pavese DOC,it,Pinot nero dell'Oltrepò Pavese DOC.mp3
Pomino DOC,it,Pomino DOC.mp3
Primitivo di Manduria DOC,it,Primitivo di Manduria DOC.mp3
Primitivo di Manduria Dolce Naturale DOCG,it,Primitivo di Manduria Dolce Naturale DOCG.mp3
Prosecco DOC,it,Prosecco DOC.mp3
Prosecco DOC,it,Prosecco DOC.mp3
Puglia,it,Puglia.mp3
Ramandolo DOCG,it,Ramandolo DOCG.mp3
Recioto della Valpolicella DOCG,it,Recioto della Valpolicella DOCG.mp3
Recioto di Gambellara DOCG,it,Recioto di Gambellara DOCG.mp3
Recioto di Soave DOCG,it,Recioto di Soave DOCG.mp3
Reggiano DOC,it,Reggiano DOC.mp3
Reno DOC,it,Reno DOC.mp3
Riesi DOC,it,Riesi DOC.mp3
Riviera del Brenta DOC,it,Riviera del Brenta DOC.mp3
Roero DOCG,it,Roero DOCG.mp3
Roma DOC,it,Roma DOC.mp3
Romagna Albana DOCG,it,Romagna Albana DOCG.mp3
Romagna DOC,it,Romagna DOC.mp3
Rosazzo DOCG,it,Rosazzo DOCG.mp3
Rosso Cònero DOC,it,Rosso Cònero DOC.mp3
Rosso della Val di Cornia Val di Cornia Rosso DOCG,it,Rosso della Val di Cornia Val di Cornia Rosso DOCG.mp3
Rosso di Cerignola DOC,it,Rosso di Cerignola DOC.mp3
Rosso di Montalcino DOC,it,Rosso di Montalcino DOC.mp3
Rosso Piceno Piceno DOC,it,Rosso Piceno Piceno DOC.mp3
Rubino di Cantavenna DOC,it,Rubino di Cantavenna DOC.mp3
Ruché di Castagnole Monferrato DOCG,it,Ruché di Castagnole Monferrato DOCG.mp3
S. Anna di Isola Capo Rizzuto DOC,it,S. Anna di Isola Capo Rizzuto DOC.mp3
Salaparuta DOC,it,Salaparuta DOC.mp3
Salice Salentino DOC,it,Salice Salentino DOC.mp3
Sambuca di Sicilia DOC,it,Sambuca di Sicilia DOC.mp3
San Colombano San Colombano al Lambro DOC,it,San Colombano San Colombano al Lambro DOC.mp3
San Gimignano DOC,it,San Gimignano DOC.mp3
San Ginesio DOC,it,San Ginesio DOC.mp3
San Martino della Battaglia DOC,it,San Martino della Battaglia DOC.mp3
San Martino della Battaglia DOC,it,San Martino della Battaglia DOC.mp3
San Severo DOC,it,San Severo DOC.mp3
San Torpè DOC,it,San Torpè DOC.mp3
Sangue di Giuda Sangue di Giuda dell'Oltrepò Pavese DOC,it,Sangue di Giuda Sangue di Giuda dell'Oltrepò Pavese DOC.mp3
Sant'Antimo DOC,it,Sant'Antimo DOC.mp3
Santa Margherita di Belice  DOC,it,Santa Margherita di Belice  DOC.mp3
Sardegna Semidano DOC,it,Sardegna Semidano DOC.mp3
Savuto DOC,it,Savuto DOC.mp3
Scanzo Moscato di Scanzo DOCG,it,Scanzo Moscato di Scanzo DOCG.mp3
Scavigna DOC,it,Scavigna DOC.mp3
Sciacca DOC,it,Sciacca DOC.mp3
Serenissima o Vigneti della Serenissima DOC,it,Serenissima o Vigneti della Serenissima DOC.mp3
Serrapetrona DOC,it,Serrapetrona DOC.mp3
Sforzato di Valtellina  Sfursat di Valtellina DOCG,it,Sforzato di Valtellina  Sfursat di Valtellina DOCG.mp3
Sicilia DOC,it,Sicilia DOC.mp3
Sicily,it,Sicily.mp3
Siracusa DOC,it,Siracusa DOC.mp3
Sizzano DOC,it,Sizzano DOC.mp3
Soave DOC,it,Soave DOC.mp3
Soave Superiore DOCG,it,Soave Superiore DOCG.mp3
Sovana DOC,it,Sovana DOC.mp3
Spoleto DOC,it,Spoleto DOC.mp3
Squinzano DOC,it,Squinzano DOC.mp3
Strevi DOC,it,Strevi DOC.mp3
Suvereto DOCG,it,Suvereto DOCG.mp3
Tarquinia DOC,it,Tarquinia DOC.mp3
Taurasi DOCG,it,Taurasi DOCG.mp3
Tavoliere Tavoliere delle Puglie DOC,it,Tavoliere Tavoliere delle Puglie DOC.mp3
Teroldego Rotaliano DOC,it,Teroldego Rotaliano DOC.mp3
Terra d'Otranto DOC,it,Terra d'Otranto DOC.mp3
Terracina Moscato di Terracina DOC,it,Terracina Moscato di Terracina DOC.mp3
Terradeiforti Valdadige Terradeiforti DOC,it,Terradeiforti Valdadige Terradeiforti DOC.mp3
Terradeiforti Valdadige Terradeiforti DOC,it,Terradeiforti Valdadige Terradeiforti DOC.mp3
Terratico di Bibbona DOC,it,Terratico di Bibbona DOC.mp3
Terre Alfieri DOCG,it,Terre Alfieri DOCG.mp3
Terre del Colleoni Colleoni DOC,it,Terre del Colleoni Colleoni DOC.mp3
Terre dell'Alta Val d'Agri DOC,it,Terre dell'Alta Val d'Agri DOC.mp3
Terre di Casole DOC,it,Terre di Casole DOC.mp3
Terre di Cosenza DOC,it,Terre di Cosenza DOC.mp3
Terre di Offida DOC,it,Terre di Offida DOC.mp3
Terre di Pisa DOC,it,Terre di Pisa DOC.mp3
Terre Tollesi Tullum DOCG,it,Terre Tollesi Tullum DOCG.mp3
Tintilia del Molise DOC,it,Tintilia del Molise DOC.mp3
Todi DOC,it,Todi DOC.mp3
Torgiano DOC,it,Torgiano DOC.mp3
Torgiano Rosso Riserva DOCG,it,Torgiano Rosso Riserva DOCG.mp3
Toscano o Toscana IGT,it,Toscano o Toscana IGT.mp3
Trebbiano d'Abruzzo DOC,it,Trebbiano d'Abruzzo DOC.mp3
Trentino DOC,it,Trentino DOC.mp3
Trentino,it,Trentino.mp3
Trento DOC,it,Trento DOC.mp3
Trevenezie Tri Benečije IGT,it,Trevenezie Tri Benečije IGT.mp3
Val d’Arbia DOC,it,Val d’Arbia DOC.mp3
Val d’Arno di Sopra  Valdarno di Sopra DOC,it,Val d’Arno di Sopra  Valdarno di Sopra DOC.mp3
Val di Cornia DOC,it,Val di Cornia DOC.mp3
Val Polcèvera DOC,it,Val Polcèvera DOC.mp3
Valcalepio DOC,it,Valcalepio DOC.mp3
Valdadige  Etschtaler DOC,it,Valdadige  Etschtaler DOC.mp3
Valdadige Etschtaler DOC,it,Valdadige Etschtaler DOC.mp3
Valdichiana toscana DOC,it,Valdichiana toscana DOC.mp3
Valdinievole DOC,it,Valdinievole DOC.mp3
Valle d'Aosta,it,Valle d'Aosta.mp3
Valli Ossolane DOC,it,Valli Ossolane DOC.mp3
Valpolicella DOC,it,Valpolicella DOC.mp3
Valpolicella ripasso DOC,it,Valpolicella ripasso DOC.mp3
Valsusa DOC,it,Valsusa DOC.mp3
Valtellina rosso Rosso di Valtellina DOC,it,Valtellina rosso Rosso di Valtellina DOC.mp3
Valtellina Superiore DOCG,it,Valtellina Superiore DOCG.mp3
Valtènesi DOC,it,Valtènesi DOC.mp3
Velletri DOC,it,Velletri DOC.mp3
Veneto IGP,it,Veneto IGP.mp3
Venezia DOC,it,Venezia DOC.mp3
Verdicchio dei Castelli di Jesi DOC,it,Verdicchio dei Castelli di Jesi DOC.mp3
Verdicchio di Matelica DOC,it,Verdicchio di Matelica DOC.mp3
Verdicchio di Matelica Riserva DOCG,it,Verdicchio di Matelica Riserva DOCG.mp3
Verduno Pelaverga Verduno DOC,it,Verduno Pelaverga Verduno DOC.mp3
Vermentino di Gallura DOCG,it,Vermentino di Gallura DOCG.mp3
Vermentino di Sardegna DOC,it,Vermentino di Sardegna DOC.mp3
Vernaccia di Oristano DOC,it,Vernaccia di Oristano DOC.mp3
Vernaccia di San Gimignano DOCG,it,Vernaccia di San Gimignano DOCG.mp3
Vernaccia di Serrapetrona DOCG,it,Vernaccia di Serrapetrona DOCG.mp3
Vesuvio DOC,it,Vesuvio DOC.mp3
Vicenza DOC,it,Vicenza DOC.mp3
Vignanello DOC,it,Vignanello DOC.mp3
Villamagna DOC,it,Villamagna DOC.mp3
Vin Santo del Chianti Classico DOC,it,Vin Santo del Chianti Classico DOC.mp3
Vin Santo del Chianti DOC,it,Vin Santo del Chianti DOC.mp3
Vin Santo di Carmignano DOC,it,Vin Santo di Carmignano DOC.mp3
Vin Santo di Montepulciano DOC,it,Vin Santo di Montepulciano DOC.mp3
Vino Nobile di Montepulciano DOCG,it,Vino Nobile di Montepulciano DOCG.mp3
Vittoria DOC,it,Vittoria DOC.mp3
Zagarolo DOC,it,Zagarolo DOC.mp3
